City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
309,santa cruz,-17.8,-63.1667,27.03,69,40,7.72,BO,1728910616
310,hammerfest,70.6634,23.6821,6.25,75,75,1.03,NO,1728910617
311,kingston,17.997,-76.7936,28.53,74,20,0.51,JM,1728910555
312,korla,41.7597,86.1469,18.98,32,68,2.86,CN,1728910619
313,johnstown,40.3267,-78.922,9.8,77,100,7.2,US,1728910620
314,la'ie,21.6477,-157.9253,24.66,93,75,3.13,US,1728910621
315,prince george,53.9166,-122.753,15.69,57,100,4.63,CA,1728910622
316,ilha de mocambique,-15.0342,40.7358,26.43,73,43,9.74,MZ,1728910623
317,vilhena,-12.7406,-60.1458,23.12,78,0,4.63,BR,1728910624
318,tura,25.5198,90.2201,21.75,93,3,1.18,IN,1728910625
319,conception bay south,47.4999,-52.9981,9.3,82,6,6.4,CA,1728910626
320,angaur state,6.906,134.13,28.5,75,100,1.96,PW,1728910627
321,namibe,-15.1961,12.1522,24.73,73,18,5.81,AO,1728910628
322,songea,-10.6833,35.65,30.64,29,40,1.54,TZ,1728910506
323,taoudenni,22.6783,-3.9836,38.57,14,12,6.03,ML,1728910630
324,dwarka,22.2394,68.9678,29.77,71,93,2.72,IN,1728910631
325,nikolayevsk-on-amure,53.1406,140.73,7.22,75,100,2.36,RU,1728910632
326,avarua,-21.2078,-159.775,21.03,68,97,1.54,CK,1728910633
327,vielha,42.6846,0.7726,14.6,56,100,2.11,ES,1728910635
328,bardai,11.65,7.2333,31.26,41,99,1.17,NG,1728910636
329,novo aripuana,-5.1206,-60.3797,31.53,50,100,1.94,BR,1728910393
330,al hufuf,25.3646,49.5653,39.19,10,0,0.0,SA,1728910638
331,arraial do cabo,-22.9661,-42.0278,24.98,50,40,5.14,BR,1728910639
332,luderitz,-26.6481,15.1594,23.96,45,0,15.85,NA,1728910606
333,diapaga,12.0708,1.7889,32.13,48,9,4.41,BF,1728910641
334,bayanhongor,46.7167,100.1167,0.28,46,12,1.59,MN,1728910642
335,portland,45.5234,-122.6762,13.67,91,0,2.06,US,1728910236
336,port alfred,-33.5906,26.891,18.99,71,65,4.02,ZA,1728910644
337,esquina,-30.0144,-59.5272,25.32,60,100,2.77,AR,1728910645
338,jendouba,36.5011,8.7802,35.01,24,20,1.03,TN,1728910646
339,sanctuary point,-35.1114,150.629,15.22,77,30,5.14,AU,1728910647
340,ventersburg,-28.0856,27.1381,33.7,9,73,3.08,ZA,1728910648
341,tazacorte,28.629,-17.9293,25.54,69,20,3.09,ES,1728910650
342,tadine,-21.55,167.8833,20.28,65,100,6.91,NC,1728910651
343,lakatoro,-16.0999,167.4164,24.59,84,100,7.34,VU,1728910653
344,kwidzyn,53.7249,18.9311,11.86,78,98,6.8,PL,1728910573
345,yemetsk,63.4721,41.7941,4.77,76,100,3.77,RU,1728910655
346,yatou,37.15,122.3833,18.24,94,52,1.33,CN,1728910656
347,pindobacu,-10.7417,-40.3608,29.08,41,19,5.41,BR,1728910657
348,san antonio de pale,-1.4014,5.6325,26.08,78,18,5.68,GQ,1728910658
349,tuy hoa,13.0833,109.3,25.47,94,99,1.74,VN,1728910659
350,durres,41.3231,19.4414,24.1,60,0,4.08,AL,1728910660
351,tual,-5.6667,132.75,27.78,80,89,7.46,ID,1728910661
352,porto novo,6.4965,2.6036,29.9,72,100,2.18,BJ,1728910662
353,kone,-21.0595,164.8658,18.54,72,60,2.61,NC,1728910664
354,jiuquan,39.7432,98.5174,14.13,29,79,3.44,CN,1728910666
355,nar'yan-mar,67.6713,53.087,1.28,98,100,4.41,RU,1728910622
356,tanaina,61.6269,-149.4281,4.35,71,0,4.63,US,1728910668
357,iskateley,67.6803,53.1512,1.33,97,100,4.41,RU,1728910670
358,zlynka,52.4267,31.7378,7.72,88,100,5.36,RU,1728910671
359,carnarvon,-24.8667,113.6333,20.33,68,0,9.23,AU,1728910672
